segment_1|unused|Де Морсер бэйс бүр Ром хотод байхдаа Монте-Кристо гүнтэй уулзахаар болзсон Эльдер гудамжин дахь байшинд тавдугаар сарын хорин нэгний өглөө зочноо нэр төртэй хүлээн авахаар бэлтгэл хийж байв. Альбер том хашааны булан дахь, албаны байшингийн өөдөөс харсан жигүүрийн байшинд суудаг байжээ. Энэ байшингийн зөвхөн хоёр цонх нь гудамж руу харж, гурав нь хашаа уруу, бусад хоёр нь цэцэрлэг өөдөө харжээ. Хашаа цэцэрлэг хоёрын хооронд гүн ба гүнгийн авгай де Морсерын суудаг наполеоны үеийн үзэмж муутайхан маягаар барьсан байшин байна.
segment_2|unused|Эзэмшил газрын өргөний хирээр дагуу гудамжны хашаа байх бөгөөд түүнийхээ дээгүүр савтай цэцэг тавьж, дунд нь алтадсан жаднуудаар хийсэн том гол хаалга байна. Хаалгачийн байшингийн дэргэдэх явган хаалга нь үйлчлэгч зарц нар болон эздийн байшингаасаа явганаар гарч орж ирэхэд зориулжээ.
segment_3|unused|Альберт тусгай байшин гаргаж өгсөн нь, хүүгээсээ холдох дургүй мөртөө өдий насны залуу хүн дүүрэн чөлөөтэй байхыг хүсдэг болохыг мэдэх эх хүний энхрийлэл, алсын хараатай сэтгэлийг харуулна.
segment_4|unused|Нөгөө талаас, баян эцэг эхийн дур зоргоороо цэнгэн амьдрах дуртай тийм хөвгүүдийн биеэ тоосон байдал тодхон харагдана.
segment_5|unused|Альбер гудамж уруу харсан цонхоороо гадаад ертөнцийг харж байж болно. Ер нь залуу хүмүүст нүдний нь өмнө сайхан хүүхнүүд харагдаж байх нь чухал байдаг шүү дээ. Тэгээд хэрвээ нэлээд гүнзгий судлах хэрэг тохиолдвол Альбер, үүдний манаачийн байшингийн дэргэдэх явган хаалгатай адилхан үүдээр гаръя болох байв.
segment_6|unused|Энэ хаалгыг байшин барьсан өдрөөс хойш мартаж орхисон мэт үл ажиглагдам, тоос шороо дарсан байх харагдана. Гэвч цоож цуургыг нь нямбайлан тосолсон байх нь энэ хаалгыг байн байн нууцаар хэрэглэдгийг гэрчилнэ. Энэ нууц хаалга, бусад хоёр хаалгатай өрсөлдөн, манаачийн сэрэмжтэй нүднээс далдуур “Мянга нэгэн шөнийн үлгэр”-ийн агуй шиг Али Бабын шидэт “Сезам” шиг, эелдэг урьхан дуугаар хэлсэн хоёр гуравхан нууцат үг ч юм уу, эсвэл орчлон дээрх хамгийн нарийн хуруугаар учиртайхан тогшиход сэм онгойн түүнийг элэг барина. Энэ хаалганаас эхэлсэн уудам хөндийн гудмын эцэст, баруун талд нь Алберын хоолны өрөө, цонх нь хашаа уруу харж байна. Зүүн талд нь цэцэрлэг үрүү харсан цонхтой зочдын өрөө байна. Ширэнгэ бут, ороогч ургамал цонхны өмнүүр дэвүүр мэт унжиж гаднаас шагайж болох боломжтой доод давхрын энэ хоёр тасалгаан доторх зүйлийг бусдын нүднээс халхална.
segment_7|unused|Хоёрдугаар давхарт мөн ийм хоёр тасалгаа байх ба гурав дахь нь гудмын дээд талд байна. Энд зочдын өрөө, унтах тасалгаа, эмэгтэйчүүдийн зочны өрөө байна.
segment_8|unused|Доод давхрын зочдын өрөө нь алжирын буйдантай өрөө шиг бөгөөд тамхи татдаг хүмүүст зориулагджээ.
segment_9|unused|Хоёрдугаар давхар дахь эмэгтэйчүүдийн зочны өрөө нь унтах өрөөтэйгээ холбоотой бөгөөд хажуугийн хаалга шат уруу шууд гарна. Ер нь болгоомжлох бүх арга хэмжээг урьдаас авсан ажээ.
segment_10|unused|Гуравдугаар давхар нь тэр чигээрээ зураачийнх ч биш, ганган дэгжин эрийнх ч бус буруу номтны дуган гэлтэй том танхим байлаа.
